"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2008","4,434.20","4,392.70","4,456.20","4,392.70","","0.94%"
"30/12/2008","4,392.70","4,319.40","4,406.10","4,319.40","","1.70%"
"29/12/2008","4,319.40","4,216.60","4,326.30","4,216.60","","2.44%"
"24/12/2008","4,216.60","4,256.00","4,256.00","4,205.20","","-0.93%"
"23/12/2008","4,256.00","4,249.20","4,307.10","4,244.20","","0.16%"
"22/12/2008","4,249.20","4,286.90","4,305.40","4,219.80","","-0.88%"
"19/12/2008","4,286.90","4,330.70","4,330.70","4,200.70","","-1.01%"
"18/12/2008","4,330.70","4,324.20","4,352.70","4,282.60","","0.15%"
"17/12/2008","4,324.20","4,309.10","4,341.10","4,231.10","","0.35%"
"16/12/2008","4,309.10","4,277.60","4,330.10","4,246.10","","0.74%"
"15/12/2008","4,277.60","4,280.40","4,340.70","4,238.90","","-0.07%"
"12/12/2008","4,280.40","4,388.70","4,388.70","4,201.90","","-2.47%"
"11/12/2008","4,388.70","4,367.30","4,430.30","4,307.80","","0.49%"
"10/12/2008","4,367.30","4,381.30","4,407.10","4,330.00","","-0.32%"
"09/12/2008","4,381.30","4,300.10","4,413.00","4,232.60","","1.89%"
"08/12/2008","4,300.10","4,049.40","4,318.00","4,049.40","","6.19%"
"05/12/2008","4,049.40","4,163.60","4,163.60","4,002.20","","-2.74%"
"04/12/2008","4,163.60","4,170.00","4,261.10","4,090.00","","-0.15%"
"03/12/2008","4,170.00","4,122.90","4,190.90","4,042.30","","1.14%"
"02/12/2008","4,122.90","4,065.50","4,137.10","3,973.30","","1.41%"
"01/12/2008","4,065.50","4,288.00","4,288.00","4,038.40","","-5.19%"
"28/11/2008","4,288.00","4,226.10","4,288.00","4,192.50","","1.46%"
"27/11/2008","4,226.10","4,152.70","4,241.70","4,152.70","","1.77%"
"26/11/2008","4,152.70","4,171.30","4,198.70","4,050.70","","-0.45%"
"25/11/2008","4,171.30","4,153.00","4,268.30","4,069.30","","0.44%"
"24/11/2008","4,153.00","3,781.00","4,153.10","3,781.00","","9.84%"
"21/11/2008","3,781.00","3,875.00","3,946.70","3,734.10","","-2.43%"
"20/11/2008","3,875.00","4,005.70","4,005.70","3,812.20","","-3.26%"
"19/11/2008","4,005.70","4,208.50","4,213.20","3,999.10","","-4.82%"
