model,n_obs,ll_arima,ll_garch,ll_combined,k_params,aic_combined,bic_combined,lb_res_p_lag10,lb_res_p_lag20,lb_res_p_lag40,lb_sq_p_lag10,lb_sq_p_lag20,lb_sq_p_lag40,arch_lm_stat,arch_lm_p,jb_stat,jb_p,alpha,beta,alpha_beta_sum
"ARMA(0,1)+GJR-GARCH(1,1)-skewt",756,2541.671112041619,2655.5467272487285,5197.217839290348,9,-10376.435678580696,-10334.78330619508,0.24493208797458607,0.24293705647724853,0.0538395967512525,0.7126880076036797,0.8261170075701261,0.9691335217046496,9.829878140040742,0.6308824426541322,29.383205955318402,4.1640688004515736e-07,0.009000000000000001,0.8799419798896904,0.8889419798896904
"ARMA(0,1)+GJR-GARCH(1,1)-t",756,2541.671112041619,2650.1787286632675,5191.849840704886,8,-10367.699681409773,-10330.675350400337,0.272019419779678,0.2928163036300044,0.0650017282459846,0.7254058030158869,0.8052980672154582,0.9764108315404877,10.901881706578962,0.5373456751042951,29.129491538516465,4.727279515249016e-07,0.009639138268123109,0.8736165356893939,0.883255673957517
"ARMA(0,1)+GJR-GARCH(1,2)-t",756,2541.671112041619,2650.189749847441,5191.860861889059,9,-10365.721723778119,-10324.069351392503,0.3015401082019327,0.2643486777108917,0.07718167571449093,0.8288252228000638,0.8107152095957336,0.9680788005758776,10.466979755452648,0.5750634459023514,32.27967087461401,9.784948196363897e-08,0.009996852386862919,0.434863078828537,0.4448599312153999
"ARMA(0,1)+GJR-GARCH(2,1)-t",756,2541.671112041619,2650.112849023207,5191.783961064826,9,-10365.567922129652,-10323.915549744037,0.26535898925531815,0.28745993281610915,0.06288614402190666,0.7048743934235411,0.8088192556872024,0.9752207419117194,10.770468942202527,0.5486852828266644,28.89933798397742,5.303816517054111e-07,0.005079318499771371,0.8701092289443546,0.875188547444126
"ARMA(0,1)+GJR-GARCH(1,2)-skewt",756,2541.671112041619,2650.2123381455167,5191.883450187135,10,-10363.76690037427,-10317.486486612475,0.3019982558655751,0.26508901028711696,0.0774088656502063,0.8283368439210111,0.8092203060896652,0.9679872054386138,10.501174071028318,0.5720804382989122,32.27943781769245,9.786088487752975e-08,0.009996693180086823,0.43485615333377675,0.4448528465138636
"ARMA(0,1)+GJR-GARCH(2,2)-t",756,2541.671112041619,2650.1737060266723,5191.844818068292,10,-10363.689636136583,-10317.409222374788,0.30310851803815086,0.2651206213906022,0.07768909122571181,0.8283193715046182,0.80854345765213,0.9672533669408981,10.502255092660858,0.5719861721270358,32.29651714107101,9.70287441850968e-08,0.004998447725774198,0.43486495214235527,0.43986339986812945
"ARMA(0,1)+GJR-GARCH(2,1)-skewt",756,2541.671112041619,2650.139328357166,5191.810440398785,10,-10363.62088079757,-10317.340467035776,0.2646633426389299,0.2862032283003409,0.0626587183597615,0.7034946629501028,0.8086923299859152,0.9749697104484051,10.755667480160955,0.5499659996857733,28.88242307667829,5.348863522380873e-07,0.005235289315653555,0.8701066083459837,0.8753418976616373
"ARMA(0,1)+GJR-GARCH(2,2)-skewt",756,2541.671112041619,2651.08314287573,5192.754254917349,11,-10363.508509834697,-10312.600054696723,0.3022121054482778,0.2743403247610894,0.07855502510634566,0.8213527666625055,0.8012184900169359,0.9679857735273539,10.700623219826312,0.5547345303828277,31.906348845100126,1.1793002196970891e-07,0.005561016850282805,0.43244098012357357,0.4380019969738564
"ARMA(0,1)+GARCH(2,1)-skewt",756,2541.671112041619,2648.4848666775206,5190.15597871914,9,-10362.31195743828,-10320.659585052665,0.29595299565379635,0.3046301642349987,0.09898656627412086,0.6145295886615356,0.4697036411873723,0.9293468296997999,16.314015022836948,0.17727318773876638,32.67098800740643,8.04609387098922e-08,0.09792438107954693,0.8181361606655737,0.9160605417451206
"ARMA(0,1)+GARCH(1,2)-skewt",756,2541.671112041619,2647.019574035874,5188.6906860774925,9,-10359.381372154985,-10317.72899976937,0.27631497524795506,0.25473298496074553,0.08787350937699784,0.6994600362555324,0.6599626424352127,0.9586653300300396,12.703381651922179,0.3909637009320829,31.935486587622883,1.1622436954597596e-07,0.18589695053806463,0.3979843558560963,0.5838813063941609
"ARMA(0,1)+GARCH(1,1)-skewt",756,2541.671112041619,2642.6654062957577,5184.336518337377,8,-10352.673036674754,-10315.648705665319,0.2768113516252628,0.2591718554823737,0.08761345185359157,0.6750426739883546,0.6515617934478405,0.9537655079439816,12.810240644314465,0.38298283150075063,31.11670750322861,1.7502207088816956e-07,0.13966089801310533,0.8407540546735253,0.9804149526866306
"ARMA(0,1)+GARCH(1,1)-t",756,2541.671112041619,2641.1949628576167,5182.866074899235,7,-10351.73214979847,-10319.335860165214,0.31592696593488745,0.2889394899674001,0.10549414997429465,0.5531049530813043,0.36038758886386707,0.8706766566437736,17.418231582176613,0.13453048420545374,35.099141075165036,2.3895622887058926e-08,0.10446969354758429,0.8755799576706818,0.980049651218266
